user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
53,Yes,3946.2,1.328,Day,12.125,0,37.9,0,13.4,44.789,0,14.34,42.9,33.333,17,19.9,29.483,0,30,6997.545,984.417,6.6,0,0,31.824,0,0,0
53,No,3372.5,1.288,Day,2.5,0,33.9,0,0,36.8,0,0,83.05,55.25,0,0,0,0,0,4116.5,574.5,2,0,0,13.158,0,0,0
117,No,4594,0,Day,6,0,0,0,0,35.7,0,0,0,0,0,0,64.3,0,100,33442.667,214,2,0,0,21.429,0,0,0
23,Yes,34.333,12.423,Day,0,0,0,100,0,0,0,0,0,0,0,0,100,0,20,11.5,17,1,0,0,0,0,0,0
23,Yes,8801.667,0.658,Day,28.5,0,16.3,11.033,43.517,22.35,53.689,0,28.4,45.3,0,22.35,43.03,10.4,87.5,8062.364,1426.333,5.417,0,0,34.337,124.096,0,0
23,No,9822,0.191,Night,7,0,41.8,0,0,0,52.7,0,0,0,0,0,5.5,0,33.3,3657,692,3,0,0,12.727,25.455,0,0
23,No,25330.222,0.159,Night,241.889,0,0,0,0,38.522,0,0,0,0,61.278,1.8,0,0,0,52144.556,8562.889,3.667,0,0,61.515,0,0,0
23,Yes,7980.818,0.727,Day,31.091,0,22.243,3.55,9.5,0,0,4.9,79.9,9.86,0,0,11.367,0,50,19555.364,1932.273,8.364,0,2.667,31.063,8.992,2.664,0
23,No,24537.5,0.26,Day,26.5,0,0,0,0,2.1,30.725,0,64.6,0,0,16.5,0,0,0,69594.6,891.4,2.25,0,0,14.888,0,0,0
23,No,1298,0.59,Day,51.667,0,0,0,0,26.9,91.033,0,0,0,0,0,0,0,0,26975.333,501.5,1.333,0,0,71.101,4.128,0,0
23,Yes,1921,0,Night,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,82230,1961,2,0,0,0,18.182,0,0
23,No,2188,0.375,Day,54,0,24.6,0,0,56.9,0,0,0,0,18.5,0,0,0,0,1551,481,6,1,5,83.077,0,7.692,5
23,No,12129,0.364,Day,18,0,0,0,0,88.4,0,0,11.6,0,0,0,0,0,0,9545,316.333,5,0,0,26.087,0,0,0
23,No,1795,0,Early,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,5739,99,1,0,0,0,0,0,0
23,No,2620.333,2.19,Day,16,0,22.9,0,0,0,0,0,46.533,68.75,0,0,0,0,0,6118.333,378.333,2.333,0,0,51.064,0,0,0
23,Yes,2488.5,2.623,Day,6.667,0,29.4,12,73.333,32.2,0,0,21.04,56.867,0,0,42.425,0,75,17935.714,1952.875,3.125,0,0,30.651,0,0,0
23,Yes,3812.5,0.826,Day,2.5,0,0,0,86.533,3.4,0,0,48.8,20.8,0,20.25,0,0,0,4423.5,232.5,2,0,0,12.987,0,0,0
23,No,7525.4,0.995,Day,32,0,59.5,0,0,40.4,0,0,75.05,0,0,0,0,0,0,6154.75,1312.4,3.4,0,0,61.303,122.605,0,0
23,No,9888.75,0.553,Day,36.333,0,51.1,0,0,78.9,18.35,0,34.15,0.6,0,8.1,26.4,0,23.1,11839,1481,3.75,0,0,39.386,9.756,0,0
23,No,61315.714,0.137,Day,75.714,0,0.5,2.6,13.275,2.7,85.4,0,3.633,1.3,0.5,6.525,0,0,0,65632.714,1385.143,9,0,0,20.607,2.767,0,0
23,No,171.5,6.868,Night,0,0,0,0,0,0,0,0,15.1,84.9,0,0,0,0,0,6055.5,187.667,1.5,0,0,0,0,0,0
23,Yes,5588,1.699,Day,33.2,0,14.9,0,50.733,67.24,0,0,34.233,49.867,56.45,31.4,0,0,0,6603.167,812.429,3,0,0,58.246,0,0,0
23,No,1550.5,1.488,Day,15,0,0,0,6.8,0,0,20.5,0,0,85.25,0,2.3,0,80,1971.333,362,2.5,2,12,62.5,0,50,6
23,Yes,2071,0,Early,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3065,523,1,4,20,0,0,200,5
